Group,Quarter,Year,Topic,Special,Word_Count,Graph_Count,Table_Count
1,SP,20,family and relationships,False,3615,18,8
2,SP,20,science,False,3658,13,30
3,SP,20,news and politics,True,8366,33,5
5,SP,20,business and finance,False,3707,39,8
7,SP,20,music and audio,False,4261,6,8
8,SP,20,personal finance,False,3727,80,5
9,SP,20,news and politics,False,4380,21,6
10,SP,20,personal finance,False,5939,17,43
11,SP,20,business and finance,False,5779,21,5
12,SP,20,sports,False,4917,4,24
13,SP,20,travel,False,4901,14,7
16,SP,20,medical health,False,2972,4,13
17,SP,20,sports,False,5303,5,18
18,SP,20,video gaming,False,3970,10,4
19,SP,20,automotive,True,4158,7,6
20,SP,20,pets,True,2993,17,3
21,SP,20,video gaming,False,2915,8,3
22,SP,20,technology and computing,True,4973,17,10
23,SP,20,medical health,False,2315,9,8
25,SP,20,business and finance,False,2306,9,11
26,SP,20,music and audio,False,4543,11,2
28,SP,20,style and fashion,False,6289,22,22
29,SP,20,style and fashion,False,2027,10,4
30,SP,20,automotive,False,4347,17,10
31,SP,20,news and politics,False,2379,3,3
32,SP,20,automotive,False,1642,8,6
33,SP,20,sports,False,2248,10,13
34,SP,20,education,False,3780,0,5
35,SP,20,family and relationships,False,3785,8,4
37,SP,20,video gaming,True,6574,13,10
38,SP,20,news and politics,False,2552,6,16
39,SP,20,music and audio,False,7948,12,10
40,SP,20,business and finance,False,3607,14,23
41,SP,20,medical health,False,8595,24,25
45,SP,20,medical health,False,6311,43,21
46,SP,20,science,False,5190,11,14
47,SP,20,news and politics,False,2213,8,9
48,SP,20,automotive,False,4321,14,9
50,SP,20,pets,False,2418,4,1
51,SP,20,education,False,1978,5,5
52,SP,20,television,False,3513,14,1
53,SP,20,food and drink,True,5104,11,4
54,SP,20,music and audio,False,4443,47,13
55,SP,20,sports,True,2530,0,35
56,SP,20,news and politics,False,3849,13,16
57,SP,20,sports,False,5960,17,8
59,SP,20,news and politics,False,2503,47,2
62,SP,20,careers,True,3162,11,15
65,SP,20,food and drink,False,3786,0,0
